cohort	gene	endpoint	cutoff	n	n_R	n_NR	n_high_R	n_high_NR	n_low_R	n_low_NR	effect	effect_value	ci_low	ci_high	p	note
GSE274975_NSCLC	CLDN4	ORR_CRPR_vs_SDPD	continuous	56	14	42					rank_biserial_R_minus_NR	-0.03401360544217691			0.857342586821267	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	ORR_CRPR_vs_SDPD	median	56	14	42	7.0	21.0	7.0	21.0	OR_high_vs_low	1.0	0.29827533869666645	3.3526070387500533	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	38	8	30	4.0	15.0	4.0	15.0	OR_high_vs_low	1.0	0.21017559006346326	4.757926454247358	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	DCB_PFS_ge_6mo	continuous	54	34	20					rank_biserial_R_minus_NR	0.04117647058823537			0.8089212056851205	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	DCB_PFS_ge_6mo	median	54	34	20	17.0	10.0	17.0	10.0	OR_high_vs_low	1.0	0.33132362922556075	3.0181970490224628	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	CLDN4	DCB_PFS_ge_6mo	tertile_T3_vs_T1	36	23	13	12.0	6.0	11.0	7.0	OR_high_vs_low	1.2727272727272727	0.3256009473040071	4.974907856245866	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_LUAD	CLDN4	ORR_CRPR_vs_SDPD	continuous	20	3	17					rank_biserial_R_minus_NR	0.0980392156862746			0.8421052631578948	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	CLDN4	ORR_CRPR_vs_SDPD	median	20	3	17	1.0	9.0	2.0	8.0	OR_high_vs_low	0.4444444444444444	0.03359234813517458	5.88023389739451	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	CLDN4	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	14	2	12	1.0	6.0	1.0	6.0	OR_high_vs_low	1.0	0.05008922048418713	19.96437537525053	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	CLDN4	DCB_PFS_ge_6mo	continuous	21	16	5					rank_biserial_R_minus_NR	-0.07499999999999996			0.8417121234458697	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	CLDN4	DCB_PFS_ge_6mo	median	21	16	5	8.0	2.0	8.0	3.0	OR_high_vs_low	1.5	0.195036692516423	11.5362907921059	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	CLDN4	DCB_PFS_ge_6mo	tertile_T3_vs_T1	14	12	2	6.0	1.0	6.0	1.0	OR_high_vs_low	1.0	0.05008922048418713	19.96437537525053	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUSC	CLDN4	ORR_CRPR_vs_SDPD	continuous	27	8	19					rank_biserial_R_minus_NR	0.06578947368421062			0.8150364289494724	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	CLDN4	ORR_CRPR_vs_SDPD	median	27	8	19	5.0	8.0	3.0	11.0	OR_high_vs_low	2.2916666666666665	0.42009561356552266	12.501287662914368	0.4197101449275362	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	CLDN4	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	18	6	12	3.0	6.0	3.0	6.0	OR_high_vs_low	1.0	0.14085842092104503	7.099327065156631	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	CLDN4	DCB_PFS_ge_6mo	continuous	26	15	11					rank_biserial_R_minus_NR	-0.18787878787878787			0.4362749288405292	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	CLDN4	DCB_PFS_ge_6mo	median	26	15	11	7.0	6.0	8.0	5.0	OR_high_vs_low	0.7291666666666666	0.15302863713024925	3.474408697276958	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	CLDN4	DCB_PFS_ge_6mo	tertile_T3_vs_T1	18	10	8	4.0	5.0	6.0	3.0	OR_high_vs_low	0.4	0.059210142635980664	2.702239732534805	0.6371863430686961	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_NSCLC	CLDN4	PFS_cox_per_SD	continuous	60	41	19					HR_per_SD	1.0231348999321948			0.8879558622061114	univariable Cox; event=Table S1 Response status available
GSE274975_NSCLC	TACSTD2	ORR_CRPR_vs_SDPD	continuous	56	14	42					rank_biserial_R_minus_NR	0.14965986394557818			0.41044984915308635	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	ORR_CRPR_vs_SDPD	median	56	14	42	7.0	21.0	7.0	21.0	OR_high_vs_low	1.0	0.29827533869666645	3.3526070387500533	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	38	11	27	7.0	12.0	4.0	15.0	OR_high_vs_low	2.1875	0.5161561618347967	9.270752930644193	0.47563358686829216	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	DCB_PFS_ge_6mo	continuous	54	34	20					rank_biserial_R_minus_NR	-0.061764705882352944			0.7134660488878422	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	DCB_PFS_ge_6mo	median	54	34	20	16.0	11.0	18.0	9.0	OR_high_vs_low	0.7272727272727273	0.23994911485524914	2.2043241132762192	0.7785510195630274	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_NSCLC	TACSTD2	DCB_PFS_ge_6mo	tertile_T3_vs_T1	36	21	15	10.0	8.0	11.0	7.0	OR_high_vs_low	0.7954545454545454	0.21089511700864708	3.0002967487310466	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta
GSE274975_LUAD	TACSTD2	ORR_CRPR_vs_SDPD	continuous	20	3	17					rank_biserial_R_minus_NR	0.6470588235294117			0.09298245614035087	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	TACSTD2	ORR_CRPR_vs_SDPD	median	20	3	17	2.0	8.0	1.0	9.0	OR_high_vs_low	2.25	0.17006126243432132	29.76868410555971	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	TACSTD2	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	14	2	12	2.0	5.0	0.0	7.0	OR_high_vs_low	6.818181818181818	0.2698093567538596	172.2979657380623	0.46153846153846156	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	TACSTD2	DCB_PFS_ge_6mo	continuous	21	16	5					rank_biserial_R_minus_NR	-0.19999999999999996			0.5476436188510492	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	TACSTD2	DCB_PFS_ge_6mo	median	21	16	5	7.0	3.0	9.0	2.0	OR_high_vs_low	0.5185185185185185	0.06716888737431567	4.0027677181600545	0.6351172047766476	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUAD	TACSTD2	DCB_PFS_ge_6mo	tertile_T3_vs_T1	14	9	5	4.0	3.0	5.0	2.0	OR_high_vs_low	0.5333333333333333	0.05790329424665256	4.912405211917426	1.0	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUAD only
GSE274975_LUSC	TACSTD2	ORR_CRPR_vs_SDPD	continuous	27	8	19					rank_biserial_R_minus_NR	-0.35526315789473684			0.1626098217402565	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	TACSTD2	ORR_CRPR_vs_SDPD	median	27	8	19	3.0	10.0	5.0	9.0	OR_high_vs_low	0.54	0.09952986366149365	2.9297739318899003	0.6776167471819645	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	TACSTD2	ORR_CRPR_vs_SDPD	tertile_T3_vs_T1	18	6	12	1.0	8.0	5.0	4.0	OR_high_vs_low	0.1	0.008545370787645924	1.1702242358467392	0.13122171945701355	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	TACSTD2	DCB_PFS_ge_6mo	continuous	26	15	11					rank_biserial_R_minus_NR	-0.19999999999999996			0.40631330215979156	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	TACSTD2	DCB_PFS_ge_6mo	median	26	15	11	6.0	7.0	9.0	4.0	OR_high_vs_low	0.38095238095238093	0.07652253359266545	1.896496492468434	0.4283079822317944	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_LUSC	TACSTD2	DCB_PFS_ge_6mo	tertile_T3_vs_T1	18	12	6	5.0	4.0	7.0	2.0	OR_high_vs_low	0.35714285714285715	0.046023660715760945	2.771422751351959	0.6199095022624435	PMID 39723204 Table S1; DCB=PFS>=6mo, early-censored <6mo excluded; not pooled into the 11-cohort meta; LUSC only
GSE274975_NSCLC	TACSTD2	PFS_cox_per_SD	continuous	60	41	19					HR_per_SD	0.9804422093138327			0.8995630254501003	univariable Cox; event=Table S1 Response status available
GSE283829_NSCLC	CLDN4	ORR_CR_vs_SDPD	continuous	27	7	20					rank_biserial_R_minus_NR	-0.014285714285714235			0.9784489262750131	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	ORR_CR_vs_SDPD	median	27	7	20	3.0	10.0	4.0	10.0	OR_high_vs_low	0.75	0.1323372049768414	4.250505366940732	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	ORR_CR_vs_SDPD	tertile_T3_vs_T1	18	5	13	3.0	6.0	2.0	7.0	OR_high_vs_low	1.75	0.21530226624978793	14.224188408899371	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	CR_vs_PD	continuous	17	7	10					rank_biserial_R_minus_NR	-0.02857142857142858			0.9622583299053886	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
GSE283829_NSCLC	CLDN4	CR_vs_PD	median	17	7	10	3.0	5.0	4.0	5.0	OR_high_vs_low	0.75	0.10739086993298691	5.23787543904809	1.0	GEO disease stage is best response CR/SD/PD (no PR, no PFS); not pooled into the 11-cohort meta
