contrast	set	query_symbol	matrix_symbol	log2fc
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	DCLRE1C	DCLRE1C	0.3982
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	FEN1	FEN1	0.0174
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	LIG4	LIG4	0.0493
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	MRE11	MRE11A	-0.0148
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	NHEJ1	NHEJ1	0.1195
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	POLL	POLL	-0.2086
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	POLM	POLM	-0.3365
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	PRKDC	PRKDC	0.2512
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	RAD50	RAD50	-0.1005
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	XRCC4	XRCC4	-0.2428
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	XRCC5	XRCC5	-0.1693
GSE207704_deposited_FPKM_MCF7_WT_over_KO	KEGG_NHEJ	XRCC6	XRCC6	-0.1077
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	ISG15	ISG15	-0.1060
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	OAS1	ADAR	-0.0464
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFI44	IFI44	1.8742
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFITM1	IFITM1	0.5861
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	EIF2AK2	EIF2AK2	0.0680
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TAP1	FASN	-0.0029
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	SP110	SP110	-1.0081
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	UBE2L6	UBE2L6	-0.1105
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	USP18	USP18	0.4152
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFIH1	IFIH1	-1.8923
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	LGALS3BP	LGALS3BP	-1.3229
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	ISG20	ISG20	-1.0608
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	GBP2	GBP2	0.8515
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IRF1	IRF1	0.1772
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PLSCR1	PLSCR1	-0.0478
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	HERC6	HERC6	-0.4142
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFITM3	IFITM3	1.1885
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	STAT2	STAT2	0.2951
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	IFITM2	IFITM2	1.0846
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	HELZ2	HELZ2	-0.0056
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TRIM21	TRIM21	-0.7787
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PARP14	PARP14	-0.1254
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PARP12	PARP12	-0.1724
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	NMI	NMI	-0.8834
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	RNF31	RNF31	-0.0749
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	HLA-C	HLA-C	-1.3894
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TRIM14	TRIM14	-1.0534
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TDRD7	TDRD7	-0.0871
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PARP9	PARP9	0.3962
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PNPT1	PNPT1	-0.3918
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TRIM25	TRIM25	0.1201
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PSME1	PSME1	0.4158
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	WARS1	WARS	0.1112
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	PSME2	PSME2	0.1178
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TRIM5	TRIM5	-0.1492
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	LAP3	LAP3	0.0307
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	NCOA7	NCOA7	-0.1294
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	TMEM140	TMEM140	0.4311
GSE207704_deposited_FPKM_MCF7_WT_over_KO	Hallmark_IFN_alpha	GMPR	GMPR	-0.3943
