dataset	analysis	comparison	metric	n	stat	value	p_value	note
GSE207422	response_mpr_post	NMPR vs MPR (post, n_mal>=10)	mal_TACSTD2_mean	2+7	mannwhitney_u	4.0	0.5	MPR median=0.4317 (n=2); NMPR median=1.1029 (n=7); primary unit=sample; pCR counted as MPR
GSE207422	spearman_post	malignant TACSTD2 vs T/NK fraction	mal_TACSTD2_mean	9	spearman_rho	0.16666666666666669	0.668231040071504	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant TACSTD2 vs CD8-like fraction	mal_TACSTD2_mean	9	spearman_rho	-0.016666666666666666	0.9660548039946862	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant TACSTD2 vs B/Plasma fraction	mal_TACSTD2_mean	9	spearman_rho	0.06666666666666667	0.8646897846262036	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant TACSTD2 vs TLS chemokine score	mal_TACSTD2_mean	9	spearman_rho	0.25	0.5164895523012261	post-treatment samples with >=10 malignant-like cells
GSE207422	response_mpr_post	NMPR vs MPR (post, n_mal>=10)	mal_CLDN4_mean	2+7	mannwhitney_u	5.0	0.6666666666666666	MPR median=0.4941 (n=2); NMPR median=0.7332 (n=7); primary unit=sample; pCR counted as MPR
GSE207422	spearman_post	malignant CLDN4 vs T/NK fraction	mal_CLDN4_mean	9	spearman_rho	0.03333333333333333	0.9321567355405039	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant CLDN4 vs CD8-like fraction	mal_CLDN4_mean	9	spearman_rho	-0.13333333333333333	0.7323675052362973	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant CLDN4 vs B/Plasma fraction	mal_CLDN4_mean	9	spearman_rho	0.15	0.7000942309691418	post-treatment samples with >=10 malignant-like cells
GSE207422	spearman_post	malignant CLDN4 vs TLS chemokine score	mal_CLDN4_mean	9	spearman_rho	0.3	0.43284532670948234	post-treatment samples with >=10 malignant-like cells
GSE207422	sensitivity_mpr_post	NMPR vs MPR (malignant-like min1)	mal1_TACSTD2	4+8	mannwhitney_u	7.0	0.14598627771734832	MPR med=0.0428 (n=4); NMPR med=0.7936 (n=8)
GSE207422	sensitivity_spearman_post	malignant-like min1 TACSTD2 vs T/NK fraction	mal1_TACSTD2	12	spearman_rho	0.19718798825711964	0.5390267201932187	post-tx sensitivity
GSE207422	sensitivity_mpr_post	NMPR vs MPR (all epithelial min1)	epi_TACSTD2	4+8	mannwhitney_u	13.0	0.6828282828282828	MPR med=1.0134 (n=4); NMPR med=1.2469 (n=8)
GSE207422	sensitivity_spearman_post	all epithelial min1 TACSTD2 vs T/NK fraction	epi_TACSTD2	12	spearman_rho	0.1258741258741259	0.696683109395766	post-tx sensitivity
GSE207422	sensitivity_mpr_post	NMPR vs MPR (malignant-like min1)	mal1_CLDN4	4+8	mannwhitney_u	7.5	0.1666255757371301	MPR med=0.0000 (n=4); NMPR med=0.5589 (n=8)
GSE207422	sensitivity_spearman_post	malignant-like min1 CLDN4 vs T/NK fraction	mal1_CLDN4	12	spearman_rho	0.07830421195446947	0.8088649739542916	post-tx sensitivity
GSE207422	sensitivity_mpr_post	NMPR vs MPR (all epithelial min1)	epi_CLDN4	4+8	mannwhitney_u	19.0	0.6828282828282828	MPR med=1.1956 (n=4); NMPR med=1.1701 (n=8)
GSE207422	sensitivity_spearman_post	all epithelial min1 CLDN4 vs T/NK fraction	epi_CLDN4	12	spearman_rho	0.11188811188811189	0.729194990751066	post-tx sensitivity
GSE207422	spearman_post	malignant TACSTD2 vs residual tumor fraction	mal_TACSTD2_mean	9	spearman_rho	0.41004543029030427	0.27302974714377237	post-tx; residual tumor from GEO metadata
GSE207422	spearman_post	malignant CLDN4 vs residual tumor fraction	mal_CLDN4_mean	9	spearman_rho	0.39330888211518983	0.2949902441700331	post-tx; residual tumor from GEO metadata
GSE207422	immune_vs_mpr_post	NMPR vs MPR T/NK fraction	frac_tnk	4+8	mannwhitney_u	19.0	0.6828282828282828	MPR med=0.5304; NMPR med=0.3891
GSE207422	immune_vs_mpr_post	NMPR vs MPR CD8-like fraction	frac_cd8	4+8	mannwhitney_u	23.0	0.2828282828282829	MPR med=0.2430; NMPR med=0.1400
GSE207422	immune_vs_mpr_post	NMPR vs MPR B/Plasma fraction	frac_b_plasma	4+8	mannwhitney_u	19.0	0.6828282828282828	MPR med=0.1428; NMPR med=0.0557
GSE207422	response_mpr_all_timing	NMPR vs MPR (pre+post)	mal_TACSTD2_mean	2+9	mannwhitney_u	6.0	0.5818181818181818	exploratory: mixes pre-biopsy and post-surgery
GSE207422	response_mpr_all_timing	NMPR vs MPR (pre+post)	mal_CLDN4_mean	2+9	mannwhitney_u	7.0	0.7272727272727273	exploratory: mixes pre-biopsy and post-surgery
GSE207422	compartment	malignant vs T/NK TACSTD2 (paired sample)	mal_TACSTD2_mean	9	wilcoxon_w	0.0	0.00390625	mal med=0.7777; T/NK med=0.0093
GSE205335	response_recist	NR (SD/PD) vs R (PR)	mal_TACSTD2_mean	6+10	mannwhitney_u	29.0	0.9577922077922078	R median=1.0978 (n=6); NR median=0.9105 (n=10); RECIST not MPR; unit=patient; min 20 malignant cells
GSE205335	spearman_all_evaluable	malignant TACSTD2 vs T/NK fraction	mal_TACSTD2_mean	22	spearman_rho	0.2840203274985884	0.20019815279526967	tumor tissues; patients with >=20 malignant cells; includes NE
GSE205335	spearman_recist_r_nr	malignant TACSTD2 vs T/NK fraction	mal_TACSTD2_mean	16	spearman_rho	0.4558823529411765	0.0759454911674118	R+NR only
