contrast	filter	variant	method	set_name	thesis_expect	n_genes	effect	effect_name	p_method	p_kind	thesis_match	thesis_p	extra	sweep_id	sweep_q_within_contrast	primary_family	primary_family_q
drop_KO2	cpmfilter_ge10_in2	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.105940650233337	score_KO_minus_WT	0.027859506269321	welch_two_sided	TRUE	0.0139297531346605	exact_perm_p=0.1;n_assign=10;perm_effect=0.106	1369	0.998791594936895	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	fry_voom	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	25	1	fry_direction_sign	0.0540950204136293	fry_two_sided	TRUE	0.0270475102068146	Direction=Up	282	0.999930595326927	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	roast_voom_mean	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	25	1.42592530065247	signed_neglog10_roast_p	0.0375037503750375	roast_mean_Up_one_sided	TRUE	0.0375037503750375	mixed_p=0.0028;active_prop=0.24	281	0.999930595326927	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	zmean_welch	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	25	0.183503064977444	score_KO_minus_WT	0.0832280363218984	welch_two_sided	TRUE	0.0416140181609492	exact_perm_p=0.1;n_assign=20;perm_effect=0.184	276	0.999930595326927	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	roast_voom_mean	NHEJ_CORE	down	6	1.20896809329138	signed_neglog10_roast_p	0.0618061806180618	roast_mean_Down_one_sided	TRUE	0.0618061806180618	mixed_p=0.303;active_prop=0.333	755	0.996599659965997	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	ssgsea	NHEJ_CORE	down	6	-0.0467654106468846	score_KO_minus_WT	0.132726663749082	welch_two_sided	TRUE	0.0663633318745412	exact_perm_p=0.1;n_assign=10	866	0.996599659965997	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	zmean_welch	NHEJ_CORE	down	6	-0.518762350060591	score_KO_minus_WT	0.138260701460536	welch_two_sided	TRUE	0.0691303507302678	exact_perm_p=0.1;n_assign=10;perm_effect=-0.519	752	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.122637788608413	score_KO_minus_WT	0.13842791984113	welch_two_sided	TRUE	0.0692139599205648	exact_perm_p=0.1;n_assign=20	459	0.999930595326927	TRUE	0.999930595326927
all_null_vs_WT	cpmfilter_ge10_in3	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.117737113927583	score_KO_minus_WT	0.143813208578262	welch_two_sided	TRUE	0.0719066042891312	exact_perm_p=0.1;n_assign=20	725	0.999857019673561	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	fry_voom	NHEJ_CORE	down	6	-1	fry_direction_sign	0.145038741397089	fry_two_sided	TRUE	0.0725193706985446	Direction=Down	756	0.996599659965997	FALSE	NA
drop_KO2	cpmfilter_ge10_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.203610661346079	score_KO_minus_WT	0.149265647832722	welch_two_sided	TRUE	0.074632823916361	exact_perm_p=0.2;n_assign=10	1396	0.998791594936895	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.120718086400372	score_KO_minus_WT	0.150380628681606	welch_two_sided	TRUE	0.0751903143408032	exact_perm_p=0.1;n_assign=10	858	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge5_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.123797442378086	score_KO_minus_WT	0.154176685165423	welch_two_sided	TRUE	0.0770883425827116	exact_perm_p=0.1;n_assign=20	592	0.999918062380311	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in3	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.148637445698491	score_KO_minus_WT	0.172393499784897	welch_two_sided	TRUE	0.0861967498924486	exact_perm_p=0.1;n_assign=20	731	0.999857019673561	FALSE	NA
drop_WT2	cpmfilter_ge10_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.160292738471839	score_KO_minus_WT	0.175978496006848	welch_two_sided	TRUE	0.0879892480034239	exact_perm_p=0.1;n_assign=10	991	0.999693285022511	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.149810464537626	score_KO_minus_WT	0.17660987591364	welch_two_sided	TRUE	0.08830493795682	exact_perm_p=0.1;n_assign=20	465	0.999930595326927	TRUE	0.999930595326927
all_null_vs_WT	cpmfilter_ge5_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.151257922172073	score_KO_minus_WT	0.185896717514722	welch_two_sided	TRUE	0.0929483587573608	exact_perm_p=0.1;n_assign=20	598	0.999918062380311	FALSE	NA
drop_KO2	cpmfilter_ge10_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.207047022893074	score_KO_minus_WT	0.197285114436037	welch_two_sided	TRUE	0.0986425572180185	exact_perm_p=0.2;n_assign=10	1390	0.998791594936895	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	15	0.212500075633297	score_KO_minus_WT	0.200651672001884	welch_two_sided	TRUE	0.100325836000942	exact_perm_p=0.1;n_assign=20;perm_effect=0.213	420	0.999930595326927	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	gsva	NHEJ_CORE	down	6	-0.45990501857495	score_KO_minus_WT	0.249081583681417	welch_two_sided	TRUE	0.124540791840708	exact_perm_p=0.3;n_assign=10	847	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	fry_voom	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	55	-1	fry_direction_sign	0.282789053250097	fry_two_sided	TRUE	0.141394526625048	Direction=Down	240	0.999930595326927	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	zmean_welch	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	-0.140725873216883	score_KO_minus_WT	0.303748255971226	welch_two_sided	TRUE	0.151874127985613	exact_perm_p=0.3;n_assign=10;perm_effect=-0.141	797	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in3	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.0631893939371946	score_KO_minus_WT	0.305232729468016	welch_two_sided	TRUE	0.152616364734008	exact_perm_p=0.15;n_assign=20;perm_effect=0.0632	704	0.999857019673561	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.0608867357430795	score_KO_minus_WT	0.312551064652594	welch_two_sided	TRUE	0.156275532326297	exact_perm_p=0.15;n_assign=20;perm_effect=0.0609	406	0.999930595326927	TRUE	0.999930595326927
drop_KO3	cpmfilter_ge10_in2	as_is	gsva	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	0.121868052312147	score_KO_minus_WT	0.323766313629363	welch_two_sided	TRUE	0.161883156814682	exact_perm_p=0.2;n_assign=10	1523	0.999299929992999	FALSE	NA
all_null_vs_WT	cpmfilter_ge5_in2	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.0588697552872569	score_KO_minus_WT	0.326979231834953	welch_two_sided	TRUE	0.163489615917476	exact_perm_p=0.15;n_assign=20;perm_effect=0.0589	571	0.999918062380311	FALSE	NA
drop_WT2	cpmfilter_ge10_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.134686837042138	score_KO_minus_WT	0.335260263515059	welch_two_sided	TRUE	0.167630131757529	exact_perm_p=0.2;n_assign=10	997	0.999693285022511	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.0416936965634938	score_KO_minus_WT	0.349589864271526	welch_two_sided	TRUE	0.174794932135763	exact_perm_p=0.3;n_assign=10;perm_effect=0.0417	837	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	roast_voom_mean	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	55	0.752228735470469	signed_neglog10_roast_p	0.176917691769177	roast_mean_Down_one_sided	TRUE	0.176917691769177	mixed_p=6e-04;active_prop=0.255	239	0.999930595326927	FALSE	NA
drop_WT3	cpmfilter_ge10_in2	as_is	zmean_welch	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.106711259544046	score_KO_minus_WT	0.366826808184615	welch_two_sided	TRUE	0.183413404092307	exact_perm_p=0.1;n_assign=10;perm_effect=0.107	1103	0.998428680686874	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	roast_voom_mean	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	0.7356110613301	signed_neglog10_roast_p	0.183818381838184	roast_mean_Down_one_sided	TRUE	0.183818381838184	mixed_p=0.0056;active_prop=0.257	800	0.996599659965997	FALSE	NA
all_null_vs_WT	cpmfilter_ge10_in2	drop_high_cv	camera_voom:zero	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	25	1	camera_direction_sign	0.377436468820819	camera_two_sided	TRUE	0.18871823441041	Direction=Up;cor=0	279	0.999930595326927	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	camera_voom:mild	NHEJ_CORE	down	6	-1	camera_direction_sign	0.37919573174359	camera_two_sided	TRUE	0.189597865871795	Direction=Down;cor=0.01	754	0.996599659965997	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.0970945180705717	score_KO_minus_WT	0.396216672576078	welch_two_sided	TRUE	0.198108336288039	exact_perm_p=0.1;n_assign=10	864	0.996599659965997	FALSE	NA
drop_KO3	cpmfilter_ge10_in2	as_is	gsva	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	20	0.130039402649	score_KO_minus_WT	0.408914269007897	welch_two_sided	TRUE	0.204457134503949	exact_perm_p=0.3;n_assign=10	1529	0.999299929992999	FALSE	NA
drop_WT1	cpmfilter_ge10_in2	as_is	fry_voom	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	-1	fry_direction_sign	0.413340885504711	fry_two_sided	TRUE	0.206670442752356	Direction=Down	801	0.996599659965997	FALSE	NA
