accession	GEO_public_date	assay_or_material	outcome_in_GEO	target_coverage	decision	honest_reason	evidence
GSE233203	2025-08-27	10x scRNA-seq of pleural fluid from 7 stage-IV lung adenocarcinoma patients	Response / Non-response	TACSTD2 and CLDN4	ANALYZED	Only reviewed strict-2025 series meeting tissue, gene-coverage, and patient-outcome requirements; whole-sample pseudobulk is composition-sensitive	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233203
GSE202417	2025-05-06	Sorted peripheral-blood CD8 T-cell expression array, pre/post nivolumab plus bezafibrate	R / NR	TACSTD2 and CLDN4 are technically on full array	EXCLUDED	Epithelial genes in sorted blood CD8 T cells are not a valid tumor-marker measurement	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202417
GSE230489	2025-02-07	Bulk RNA-seq of lung-cancer and melanoma biopsies	None in GEO sample metadata	TACSTD2 and CLDN4	EXCLUDED	No sample-level response label; labels were not inferred from names or external cohorts	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230489
GSE243013	2025-01-28	Post-neoadjuvant chemo-immunotherapy immune-cell scRNA/TCR atlas	No MPR field in GEO sample metadata	Deposited matrix is explicitly immune-cell-only	EXCLUDED	Wrong cellular compartment for epithelial markers and no per-sample outcome field in GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243013
GSE252437	2025-06-30	Tumor-reactive versus non-reactive TIL gene expression	Ex-vivo reactivity label	Epithelial targets not biologically interpretable in isolated TILs	EXCLUDED	Cell phenotype is not patient ICI response and compartment is wrong	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252437
GSE271377	2025-07-01	Mechanistic cell-line / macrophage study	DCB keyword only in experimental annotation	Not a patient tumor-outcome cohort	EXCLUDED	No patient-level ICI response comparison	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271377
GSE274934	2025-01-30	scRNA/TCR/ATAC of ALK-positive and wild-type LUAD	None in GEO sample metadata	TACSTD2 and CLDN4 on scRNA assay	EXCLUDED	No patient-level response label; ALK status is not an ICI outcome	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274934
GSE283829	2025-01-17	In-situ PD1-PD-L1 interaction assay in NSCLC	No response field in GEO sample metadata	Not a whole-transcriptome target-gene assay	EXCLUDED	Cannot measure both requested transcripts against a GEO outcome	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283829
GSE285888	2025-05-19	Baseline PBMC scRNA-seq pooled in one GEO sample	Patient response exists only below pooled-sample level	Epithelial genes are near-absent in PBMC	EXCLUDED	Wrong compartment and one pooled GEO sample precludes independent patient-level testing	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE285888
GSE292098	2025-12-31	GeoMx WTA spatial profiling of CK, CD45, and CD68 compartments	No per-ROI response or survival field in GEO	TACSTD2 and CLDN4	EXCLUDED	Expression is available, but joining outcomes would require an unprovided clinical key	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292098
GSE295969	2025-05-31	Peripheral-blood CD8 T-cell RNA-seq separated by PD-L1 staining	ICI R / NR	TACSTD2 and CLDN4 technically quantified	EXCLUDED	Epithelial transcripts in sorted circulating CD8 cells are not tumor expression	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE295969
GSE309446	2025-12-17	TCR sequencing from blood and tumor in acquired PD-(L)1 resistance cohort	Treatment timepoint / resistance context	No gene-expression matrix	EXCLUDED	TCR clonotypes cannot quantify TACSTD2 or CLDN4 expression	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309446
GSE309652	2025-09-30	768-gene NanoString metabolism panel on 72 NSCLC tumors	R / NR	Neither TACSTD2 nor CLDN4 is on GPL31904	EXCLUDED	Clean outcome cohort, but the requested genes were not measured	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309652
