accession_or_resource	access	organism_disease	modality	treatment	n	endpoints_open	processed_files_and_bytes	analyzed	geo_or_source_url	caveat
GSE126044	open	Homo sapiens; NSCLC	bulk RNA-seq	anti-PD-1	16	GEO responder/non-responder	GSE126044_counts.txt.gz (559926)	yes; response	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126044	Pre-treatment; 5 responders and 11 non-responders; durable-benefit-style label rather than strict ORR; fresh/FFPE mixture
GSE135222	open	Homo sapiens; advanced NSCLC	bulk RNA-seq	anti-PD-1/PD-L1	27	PFS event and days	GSE135222_GEO_RNA-seq_omicslab_exp.tsv.gz (1663896)	yes; PFS	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135222	GEO does not expose RECIST or OS; expression uses Ensembl IDs
GSE136961	open	Homo sapiens; NSCLC	targeted bulk RNA panel	single-agent anti-PD-1	21	DCB/NDB encoded by D/N sample names; PFS and OS in GEO	GSE136961_TPM.tsv.gz (69871); GSE136961_raw_count.tsv.gz (29952)	no	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136961	Oncomine 395-gene panel does not contain TACSTD2 or CLDN4
GSE166449	open	Homo sapiens; advanced lung cancer	bulk RNA-seq	immunotherapy	22	GEO responder/non-responder	GSE166449_Raw_gene_TPM_matrix.txt.gz (1721346)	yes; response	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166449	7 responders and 15 non-responders; exact ICI drug and RECIST category are not in GEO
GSE93157	open	Homo sapiens; NSCLC/HNSCC/melanoma	NanoString PanCancer 730-Immune panel	anti-PD-1	65 total; 35 lung	response and PFS	GSE93157_raw_data_values.txt.gz (84883)	no	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93157	Neither TACSTD2/TROP2 nor CLDN4 is present on the deposited panel matrix
GSE207422	open	Homo sapiens; resectable NSCLC	bulk RNA-seq plus scRNA-seq	neoadjuvant anti-PD-1 plus chemotherapy	24 bulk pre-treatment; 15 scRNA patients	MPR/NMPR and RECIST	GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz (5629640); bulk metadata.xlsx (12056); scRNA UMI matrix (184001817); scRNA metadata.xlsx (11323)	yes; bulk MPR and ORR	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422	Combination therapy; bulk and single-cell patient sets differ; MPR analysis here uses pre-treatment bulk
GSE205335	open processed; raw controlled	Homo sapiens; lung cancer	scRNA-seq	immune-checkpoint inhibitors	26 patients; 33 samples	RECIST: 9 PR, 3 SD, 8 PD, 6 NE among unique patients	GSE205335_Lung_IO_CellIdentity.txt.gz (735956); GSE205335_Lung_IO_UMI_matrix.rds.gz (523720227)	no	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205335	Raw data are listed by GEO under controlled EGAD00001008703; a patient-level pseudobulk analysis must handle multiple biopsies and was outside the selected small downloads
GSE243013	open	Homo sapiens; NSCLC	scRNA-seq and scTCR-seq	neoadjuvant anti-PD-1 plus chemotherapy or chemotherapy	234 patients; 243 GEO records	pathologic response described; detailed metadata open	GSE243013_NSCLC_immune_scRNA_counts.mtx.gz (7123039063); metadata.csv.gz (40701210); RAW.tar (541511680); other annotations under 22 MB	no	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243013	Main processed count matrix is 7.12 GB and was skipped by the 2 GB rule; post-treatment immune-only matrix is not a bulk pretreatment biomarker test
GSE271689	open; external clinical supplement	Homo sapiens; advanced NSCLC	GeoMx DSP WTA spatial transcriptomics	PD-1-based first-line immunotherapy	586 AOIs; not 586 patients	RECIST and PFS in publication supplement; GEO AOI metadata lack outcome linkage	GSE271689_RAW.tar (36823040; 586 per-AOI DCC.gz files)	no	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-025-02351-7/MediaObjects/41588_2025_2351_MOESM5_ESM.xlsx	GEO accession verified; conditional analysis requires this publication-supplement patient/AOI mapping and GeoMx probe annotation
OAK/POPLAR (EGAS00001005013)	controlled	Homo sapiens; NSCLC	bulk RNA-seq	atezolizumab vs docetaxel	not downloaded	PFS/OS/response	list only	no	https://ega-archive.org/studies/EGAS00001005013	Controlled EGA resource; no download attempted
IMpower150	controlled/not openly processed here	Homo sapiens; NSCLC	bulk/clinical	atezolizumab-containing regimens	not downloaded	response/PFS/OS	list only	no		No accession asserted; controlled trial resource only
CheckMate	controlled/not openly processed here	Homo sapiens; NSCLC	bulk/clinical	nivolumab-containing trials	not downloaded	response/PFS/OS	list only	no		No accession asserted; controlled trial family only
SU2C-MARK (phs002822)	controlled	Homo sapiens; NSCLC	bulk/multi-omic	immune-checkpoint inhibitors	not downloaded	response/PFS/OS	list only	no	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002822	Controlled dbGaP resource; no download attempted
