graph	nhood	n_samples_present	spearman_rho	p	SpatialFDR	perfect_rank	dominant_lineage	n_malig	n_tnk
GSE205335	3553	5	-1.0	1.4042654220543602e-24	2.0862534514020413e-22	True	Epithelial cells	21	1
GSE205335	5485	5	-1.0	1.4042654220543602e-24	2.0862534514020413e-22	True	T/NK cells	0	26
GSE131907_tLung	1116	5	1.0	1.4042654220543602e-24	7.733650458394151e-23	True	Myeloid cells	0	3
GSE131907_tLung	1529	5	1.0	1.4042654220543602e-24	7.733650458394151e-23	True	T lymphocytes	0	31
GSE131907_tLung	2722	5	1.0	1.4042654220543602e-24	7.733650458394151e-23	True	T lymphocytes	0	31
GSE131907_tumor_no_brain	1776	5	1.0	1.4042654220543602e-24	1.6298190785780657e-22	True	Myeloid cells	0	0
GSE131907_tumor_no_brain	1892	5	-1.0	1.4042654220543602e-24	1.6298190785780657e-22	True	B lymphocytes	0	0
GSE131907_tumor_no_brain	2605	5	1.0	1.4042654220543602e-24	1.6298190785780657e-22	True	T lymphocytes	0	31
GSE131907_tumor_no_brain	3257	5	1.0	1.4042654220543602e-24	1.6298190785780657e-22	True	Myeloid cells	0	0
GSE131907_tumor_no_brain	5202	5	-1.0	1.4042654220543602e-24	1.6298190785780657e-22	True	B lymphocytes	0	0
