cell_type	assay	n_cells	detected_cells	detected_fraction	mean_census_normalized_expression	mean_when_detected
malignant cell	10x 3' v2	36104	22748	0.630069	0.000474914	0.000754
malignant cell	GEXSCOPE technology	32446	17036	0.525057	0.000608320	0.001159
malignant cell	10x 3' v3	10194	852	0.083579	0.000066393	0.000794
malignant cell	BD Rhapsody Whole Transcriptome Analysis	6297	5487	0.871367	0.000788165	0.000905
malignant cell	Smart-seq2	3636	3456	0.950495	0.001898682	0.001998
malignant cell	inDrop	1988	1034	0.520121	0.000712918	0.001371
malignant cell	10x 3' v1	355	166	0.467606	0.001186848	0.002538
malignant cell	10x 5' v1	287	191	0.665505	0.000492351	0.000740
malignant cell	Drop-seq	221	41	0.185520	0.000229110	0.001235
neutrophil	BD Rhapsody Whole Transcriptome Analysis	15190	737	0.048519	0.000042486	0.000876
neutrophil	inDrop	1320	3	0.002273	0.000003076	0.001353
neutrophil	GEXSCOPE technology	1142	22	0.019264	0.000021549	0.001119
neutrophil	10x 3' v3	786	2	0.002545	0.000003089	0.001214
neutrophil	Smart-seq2	772	27	0.034974	0.000015422	0.000441
neutrophil	10x 3' v2	99	3	0.030303	0.000024195	0.000798
neutrophil	Drop-seq	34	7	0.205882	0.000210118	0.001021
neutrophil	10x 5' v1	25	0	0.000000	0.000000000	0.000000
